Preset;cam1;cam2;cam3;cam4;cam5;cam6
51;Bratsche;Bratsche nah;Vl1 weit;Holz offen;1.Vl hinten;Evan
52;Cello;1.Vl;Vl1 nah;2.Vl;Bratsche gruppe;
53;B�_sse;Bratsche;Vl1 OS;Vc Solo;Vc hinten nah;
54;2.Vl gruppe;Klavier;Vl2 weit;Pianist nah;Vc nah;
55;KZM;1.Horn;Vl2 nah;2.Vl OS;1.Horn;
56;1+2Fl̦te;Bratschen;Innerring;KB detail;Holz gruppe;
57;Piccolo;Piccolo;;Fl̦te 2er;Fl̦ten reihe;
58;Oboen;1.Oboe;;1.Oboe;Oboen reihe;
59;Pauke nah;Klarinette 2er;;1.Posaune;Klari reihe;
60;Klarinette;Fagotti 2er;;1.Kl;Fag reihe;
61;Trompete;Trompete 2er;;2.Fagott;Trp 2er;
62;Posaunen;1.Pos;;1+2 Oboe;1.Posaune;
63;Tuba;Tuba;;Tuba;Pauke;
64;Dirigent;Pauke;;Pauke;Dirigent;
65;Cello Solo;Totale;;Totale;Totale;
